Unit,Cluster,Gen9LPClient,Gen9LPSoC,Gen9.5LP,Gen10LP,Gen11LP
CLKGLUE,Fabric,1,0,1,1,1.099359444
NONCLKGLUE,Fabric,1,0,1,1,1.099359444
DOP,Fabric,1,0,1,1,1.099359444
OTHER_CPunit,FF,29690,31487,29690,43356.7934,45933.3
OTHER_Repeater,FF,31450,49117.36,31450,386662.2514,409639.6
OTHER_Assign,FF,39340,38942.62,39340,8565.926128,9075
TEGSSOL_CPunit,FF,16530,13483.25,16530,26636.42957,44968.2
TEGSSOL_Repeater,FF,9040,13358.11,9040,21342.50691,36030.9
TEGSSOL_Assign,FF,6810,0,6810,0,0
CLKGLUE,FF,1,0,1,1,1.175
DOP,FF,1,0,1,1,1.175
NONCLKGLUE,FF,1,0,1,1,1.175
OTHER_CLKGLUE,FF,1,1,1,1,0.855016268
OTHER_DOP,FF,1,1,1,1,0.855016268
OTHER_NONCLKGLUE,FF,1,1,1,1,0.855016268
TEGSSOL_CLKGLUE,FF,1,1,1,1,1.438721844
TEGSSOL_DOP,FF,1,1,1,1,1.438721844
TEGSSOL_NONCLKGLUE,FF,1,1,1,1,1.438721844
TETG,FF,1,0,1,1,1
HPSDE,FF,0,0,0,103106.5446,0
VFE,FF,109550,108329.63,105565,103463.62,113456.3
SDE,FF,68027,45991.1,66534,116923.0658,125376.4
TEGSSOL_SMALL,FF,242,0,242,110031.1081,114335.1
TEGSSOL_DFX,FF,155767,209888.51,155767,176122.5462,297333.9
OACS,FF,178415,170381.16,171803,166381.2959,234126.2
SVG,FF,123016,114957.11,119351,188167.3582,79842.6
TDG,FF,153877,148155.5,153877,191667.7548,273853.1
TE,FF,172875,158742.83,167770,230844.2133,357295.4
RS,FF,341060,326483.79,331186,316148.7235,0
SOL,FF,283152,275562.78,274541,340708.8208,352022.6
URBM,FF,180041,160461.25,180041,334757.762,385168.5
OTHER_DFX,FF,269084,456457.36,269084,355115.0763,376217.8
HS,FF,416154,170061.05,416154,430882.4129,628144.2
HPVS,FF,0,0,0,433456.8889,0
CS,FF,468457,423157.86,451139,685789.2303,206452.3
OTHER_SMALL,FF,56830,48510.88,56830,258605.2874,258710.8
VSFE,FF,398948,201312.73,398948,687035.7374,153276.5
GS,FF,670118,375771.17,670118,718150.9366,1178962.7
VFBE1,FF,535472,532922.76,535472,783464.6911,1028434.89
VFBE2,FF,531885,533426.05,531885,783464.6911,590209.7099
TSG,FF,506421,243041.33,490460,872950.8416,887397.1
TDS,FF,770075,305135.7,770075,967585.2889,1239225.8
VSBE,FF,636294,307533.56,636294,1109333.985,1862450.6
CL,FF,1181388,1046316.97,1151002,1550526.334,1381276.8
VF,FF,733044,663892.47,733044,1634974.974,1539761.9
SF,FF,1232240,1024442.02,1190368,2108792.245,2048348.1
CLKGLUE,GAM,1,1,1,1,1.000606775
DOP,GAM,1,1,1,1,1.000606775
NONCLKGLUE,GAM,1,1,1,1,1.000606775
GAPC,GAM,41095,41616.15,39383,50117.69,50117.7
GAFM,GAM,62680,63066.94,60877,52772.08512,107258.4
GAPZ,GAM,77322,68676.51,72107,70566.44,102131
GAPL3,GAM,109287,61360.08,104308,87969.27,11259.9
GAPS,GAM,103078,99631.89,96195,138892.89,35006
GATRW,GAM,210123,0,200603,181250.9223,185605.6
SMALL,GAM,321425,204166.88,227756,49683.29921,49683.3
DFX,GAM,419640,419446.24,391989,269060.9735,320961
GACB,GAM,207289,86347,205140,586939.26,825972.7
GATR,GAM,1159280,905422.14,1101837,1161492.276,498993.1
GAFS,GAM,765060,489383.02,796851,1292825.131,768833.7
GAMD,GAM,1380411,1264483.82,1459204,1363000.199,1728281.7
GAMW,GAM,1814046,1212646.47,1746184,1743962.029,2208500.3
GAMTLB,GAM,1796057,1278007.66,1813487,2071425.713,2188532.9
CPunit,GAM,32520,31279.56,31471,27027.54575,32241
Repeater,GAM,196620,100620.77,181951,101384.3824,120940.8
Assign,GAM,19530,16988.78,19582,97908.91505,116794.9
CLKGLUE,GTI,1,1,1,1,1.565853486
DOP,GTI,1,1,1,1,1.565853486
DOP1X,GTI,0,0,0,1,1.565853486
DOP2X,GTI,0,0,0,1,1.565853486
GLUE,GTI,0,0,0,1,1
NONCLKGLUE,GTI,1,1,1,1,1.565853486
MIDI,GTI,37953,18183.06,19956,13739.34,14450.4
MBGF,GTI,456237,438917.46,452996,375877,375877
DFX,GTI,549319,570084.64,540631,636138.8368,1478776.9
MISD,GTI,703038,699081.1,660267,648070.87,718413.7
MSQD,GTI,397879,527006.68,533314,867462.99,2728545
SMALL,GTI,895380,655321.74,920697,1797525.003,2521041.7
MSQC,GTI,1097233,897016.61,1200563,1555633.26,4439621.3
CPunit,GTI,40960,32768.56,44110,79672,185206.6
Repeater,GTI,12970,9.07,12214,81278,188939.9
Assign,GTI,42720,0,55995,74672,173583.5
MBGFGT,GTI,1,438917.46,1,179775.74,179775.7
MBGFUC,GTI,1,0,1,196101.49,196101.5
MDRB,GTI,1,203935.02,1,436664.84,436664.8
MFC,GTI,1,20601.32,1,27399.32,27399.3
MSNP,GTI,1,861224.72,1,1045694.31,1045694.3
CLKGLUE,HDC,1,1,1,1,0.770427574
DOP,HDC,1,1,1,1,0.770427574
NONCLKGLUE,HDC,1,1,1,1,0.770427574
DFX,HDC,62059,299072.27,59479,91141.22,95696.8
SMALL,HDC,38990,118537.92,37367,112588.7,112654.1
HDCREQDATA,HDC,307530,296616.83,293689,260663.29,260882.4
HDCL1,HDC,0,0,0,363115.16,0
HDCREQCMD1,HDC,519460,613388.59,495118,496572.94,567693.2
HDCTLB,HDC,422553.3333,875014.02,437140.6667,595022.73,348039.8
HDCREQCMD2,HDC,1084276,1064863.67,1015765,954216.89,955023.5
HDCRET,HDC,584549,718996.64,558205,1088705.42,723705.4
HDCRET1,HDC,1,1,1,1068775.45,770029.5
HDCRET2,HDC,1,1,1,19929.97,26032.9
CPunit,HDC,9030,16147.03,12318,12408.14,13028.3
Repeater,HDC,34580,114495.09,33299,10062.58,10565.5
Assign,HDC,0,0,0,0,0
CLKGLUE,L3_Bank,1,1,1,1,0.731447316
DOP,L3_Bank,1,1,1,1,0.731447316
L3BankOther,L3_Bank,0,0,0,0,0
LTCD_EBB,L3_Bank,1,1,1,1,1
NONCLKGLUE,L3_Bank,1,1,1,1,0.731447316
LTCC,L3_Bank,24268,34369.77,24269,45033.78,50084.4
DFX,L3_Bank,95261,230284.21,88107,129571.18,115431.4
SMALL,L3_Bank,50300,39930.16,46520,190473.6,357485.1
LTCD_Data,L3_Bank,744927,793604.88,744927,343954.67,267188.5
LSLM,L3_Bank,246931,418792.89,247588,415881.93,0
LSQD,L3_Bank,327889,468107.93,322720,498077.85,509690.7
LTCD_Tag,L3_Bank,744927,793604.88,744927,822980.02,700692.3
LSQC,L3_Bank,388630,752877.86,396580,1128418.88,597855
CPunit,L3_Bank,4510,10387.15,4104,13357.5,11899.8
Repeater,L3_Bank,3360,59264.65,3703,84917.56,75650.7
Assign,L3_Bank,0,0,0,0,0
LNEXS,L3Node,533934,0,533934,0,0
LNIXS,L3Node,624036,0,624036,0,0
NONCLKGLUE,L3Node,1,1,1,1,1.398290603
CLKGLUE,L3Node,1,1,1,1,1.398290603
DOP,L3Node,1,1,1,1,1.398290603
DFX,L3Node,93630,108605.08,88107,64488.56,107836.7
LNE,L3Node,475589,328975.5,448758,818568.17,1343052.724
LNI,L3Node,985759,690006.34,937780,1676638.61,1973019.776
SMALL,L3Node,190080,94276.93,190080,274795.37,315877.2
CPunit,L3Node,9580,5888.43,9580,12758.33,21334.3
Repeater,L3Node,157040,51736.47,157040,708530.46,1184792.4
Assign,L3Node,760,0,760,97331.16,162755.5
ClockSpine,Other,1,1,1,1,1
Media_Idle,Other,0,0,0,1,1
Blitter,Other,1579945,1692034.29,1537440,1044428.52,1045605.9
GTP24C,Other,990453,1058016.5,968583,1206292.87,1443135.9
WIDI,Other,1324793,1303867.36,1270185,1615589.72,1610415
Fabric,RC,0,0,0,0,0
GT3BFRC,RC,1972246,0,1972246,0,0
SliceRC,RC,864926,0,864926,0,0
LNIECS,RC,45030,0,45030,0,0
LSN,RC,0,0,0,0,0
L3XSRC,RC,843656,0,843656,0,0
RC,RC,314218,0,314218,0,0
rOTHER_CLKGLUE,rFF,1,0,1,1,0.407
rOTHER_DFX,rFF,269084,0,269084,269084,109614
rOTHER_DOP,rFF,1,0,1,1,0.407
rOTHER_NONCLKGLUE,rFF,1,0,1,1,0.407
rCL,rFF,1181388,0,1181388,0,660000
rCS,rFF,468457,423157.86,451139,0,470000
rVFBE1,rFF,535472,0,535472,0,520000
rVFBE2,rFF,531885,0,531885,0,520000
rVF,rFF,733044,0,733044,0,833100
rOV,rFF,733044,0,733044,0,550000
rVS,rFF,636294,0,636294,0,0
rSF,rFF,1232240,0,1232240,0,450000
rVSFE,rFF,398948,0,398948,0,400000
rVSBE,rFF,636294,0,636294,0,550000
rSVG,rFF,123016,114957.11,119351,0,110000
CLKGLUE,ROSC,1,1,1,1,1.086
DOP,ROSC,1,1,1,1,1.086
NONCLKGLUE,ROSC,1,1,1,1,1.086
DFX,ROSC,198290,132659.81,193686,131631.68,142990.1
SMALL,ROSC,43310,0,41250,48629.81,48629.8
SARB,ROSC,182737,170546.2,171137,174946.62,175182.6
TDC,ROSC,194083,175173.92,181605,169097.3,335840
SVL,ROSC,100570,116623.62,94185,241134.93,240201.7
HPSBE,ROSC,0,0,0,578341.36,0
WMFE,ROSC,205548,205606.06,197787,596298.06,760039.5
WMBE,ROSC,809073,820314.3,777891,908719.51,918975.5
SBE,ROSC,1207312,801444.78,1128478,1193857.13,1769635.8
CPunit,ROSC,12750,8827.65,11928,16907.21,18366.1
Repeater,ROSC,101910,46089.49,98222,137247.3,149090.3
Assign,ROSC,77530,11576.89,74448,12002.47,13038.2
CLKGLUE,ROSS,1,1,1,1,0.351989641
DOP,ROSS,1,1,1,1,0.351989641
NONCLKGLUE,ROSS,1,1,1,1,0.351989641
GWL,ROSS,90710,93170.81,88812,95788.79,0
MA_IN,ROSS,81935,119357.22,81935,112601.3,168387.2
MA_OUT,ROSS,81935,119357.22,81935,112601.3,168387.2
DFX,ROSS,148934,207847.72,116147,184101.07,67098.6
IC,ROSS,293486,293362.03,285943,286900.72,287914.9
SMALL,ROSS,266907,293448.69,230193,356424.13,356426.5
CPSS,ROSS,0,0,0,529685.32,0
TDL,ROSS,473111,494121.37,461182,567958.6,461384.4
BC,ROSS,639275,643832.52,625148,721775.54,721776
PSD,ROSS,697208,701040.96,682330,740239.09,740239
DAPRSS,ROSS,751885,795350.28,716394,790554.01,790554
CPunit,ROSS,18380,18793.8,17903,31631.99,11528.8
Repeater,ROSS,21700,58181.23,21024,99420.94,36235.6
Assign,ROSS,0,0,0,0,0
DFRSMP_CPunit,Sampler,27400,26349.19,27400,16045.75,15863.8
DFRSMP_Repeater,Sampler,91820,100637,91820,15742.25,15563.8
DFRSMP_Assign,Sampler,0,0,0,0,0
MEDIASMP_CPunit,Sampler,11910,12764.59,11910,11479.94,15183.3
MEDIASMP_Repeater,Sampler,0,24794.45,0,28639.56,37878.4
MEDIASMP_Assign,Sampler,0,0,0,0,0
DFRSMP_CLKGLUE,Sampler,1,1,1,1,0.922937737
DFRSMP_DOP,Sampler,1,1,1,1,0.922937737
DFRSMP_NONCLKGLUE,Sampler,1,1,1,1,0.922937737
MEDIASMP_CLKGLUE,Sampler,1,1,1,1,1.323
MEDIASMP_DOP,Sampler,1,1,1,1,1.323
MEDIASMP_NONCLKGLUE,Sampler,1,1,1,1,1.323
Media,Sampler,0,0,0,0,0
MEDIASMP_DFX,Sampler,56009,166992.61,56009,147664.48,195299.7
DFRSMP_SMALL,Sampler,261860,245980.81,261860,112208.91,163128.6
SO,Sampler,133635,127269.21,129027,130086.56,91107.5
DFRSMP_DFX,Sampler,252584,395735.71,252584,159599.82,157790.4
FT,Sampler,139216,145074.81,134469,159079.35,159972.1
IEF,Sampler,220711,239266.7,216466,217256.03,219369.2
MEDIASMP_SMALL,Sampler,12580,12454.51,12580,188045.58,188548.1
SVSM,Sampler,144689,143805.72,139981,230667.34,254601
DG,Sampler,229451,249976.67,221819,260067.87,296366.8
ST,Sampler,283569,274582.73,273950,379509.72,355683.1
MT,Sampler,367057,401461.33,360278,389177.5,381483
SC,Sampler,404442,397757.66,387889,491099.68,342200.9
SI,Sampler,380565,401868.49,359155,510950.62,517091.3
PL,Sampler,525901,524115.29,497913,550436.89,538194.2
IME,Sampler,1157970,1165437.29,1140898,1176059.17,1259367.3
FL,Sampler,995481,1022681.66,961232,1044966.38,1015111.8
AVS,Sampler,844918,853458.73,828665,1308693.31,1315344.9
CRE,Sampler,565076,616411.47,556763,1385521.22,2672206.5
DM,Sampler,1048507,1153701.92,1006808,1365044.2,1360600.3
NONCLKGLUE,Z,1,1,1,1,1.04
CLKGLUE,Z,1,1,1,1,1.04
DOP,Z,1,1,1,1,1.04
DFX,Z,155170,356408.33,151521,136098.69,141527.5
SMALL,Z,118230,120734.14,112993,917.32,917.3
STC,Z,685333,648266.18,642064,759927.21,813154.4
RCZ,Z,1003901,916033.49,935382,863344.09,944186.8
IZ,Z,1087618,1033090.12,1031448,998386.14,890316.9
HIZ,Z,1722766,1173835.78,1673095,1594326.88,1736533.5
CPunit,Z,23870,71459.99,24234,15096.74,15698.9
Repeater,Z,111330,147942.63,98416,160854.04,167270.3
Assign,Z,1900,46118.28,1809,0,0
DFX,FF,269084,0,148228,0,0
MediaIdle,GTI,42720,0,42720,0,1423325.1
GWL,DSSC,90710,93170.81,88812,95788.79,159679
CPSS,DSSC,0,0,0,529685.32,807316.5
BC,DSSC,639275,643832.52,625148,721775.54,779585.5
PSD,DSSC,697208,701040.96,682330,740239.09,777127.1
SLMFE,DSSC,0,0,0,0,280000
SLMBE,DSSC,0,0,0,0,623000
DAPRSS,DSSC,751885,795350.28,716394,790554.01,1024111
CLKGLUE,DSSC,0,0,0,1,1.032
CPunit,DSSC,0,0,0,1,1.032
DFX,DSSC,0,0,0,1,1.032
DOP,DSSC,0,0,0,1,1.032
NONCLKGLUE,DSSC,0,0,0,1,1.032
Repeater,DSSC,0,0,0,1,1.032
