Unit,Cluster,Source,Destination,Cdyn reduction
ROW,ROW,Gen9LPClient,Xe3_XPC,1.0
ROW,ROW,Gen8SoC,Xe3_XPC,1.0
ROW,ROW,Gen8,Xe3_XPC,1.0
ROW,ROW,Gen7.5,Xe3_XPC,1.0
ROW,ROW,Gen7,Xe3_XPC,1.0
GRF,EU,Xe3_XPC,Xe3_XPC,1.0
GRF,EU,RLT1,Xe3_XPC,1.0
GRF,EU,PVCXTTrend,Xe3_XPC,1.0
GRF,EU,PVCDP,Xe3_XPC,0.9
GRF,EU,PVCXT,Xe3_XPC,1.0
GRF,EU,PVC,Xe3_XPC,1.0
GRF,EU,DG2,Xe3_XPC,1.0
GRF,EU,Gen12HP,Xe3_XPC,1.0
GRF,EU,Gen12DG,Xe3_XPC,1.0
GRF,EU,Gen12HP_384,Xe3_XPC,1.0
GRF,EU,Gen12HP_512,Xe3_XPC,1.0
GRF,EU,Gen12LP,Xe3_XPC,1.0
GRF,EU,Gen11,Xe3_XPC,1.0
GRF,EU,Gen11LP,Xe3_XPC,1.0
GRF,EU,Gen10LPSoC,Xe3_XPC,1.0
GRF,EU,Gen10LP,Xe3_XPC,1.0
GRF,EU,Gen9LPSoC,Xe3_XPC,1.0
GRF,EU,Gen9LPClient,Xe3_XPC,1.0
GRF,EU,Gen8SoC,Xe3_XPC,1.0
GRF,EU,Gen8,Xe3_XPC,1.0
GRF,EU,Gen7.5,Xe3_XPC,1.0
GRF,EU,Gen7,Xe3_XPC,1.0
ExtraPipe,EU,Xe3_XPC,Xe3_XPC,1.0
ExtraPipe,EU,RLT1,Xe3_XPC,1.0
ExtraPipe,EU,PVCXTTrend,Xe3_XPC,0.9179999999999999
ExtraPipe,EU,PVCDP,Xe3_XPC,0.9
ExtraPipe,EU,PVCXT,Xe3_XPC,1.0
ExtraPipe,EU,PVC,Xe3_XPC,1.0
ExtraPipe,EU,Gen12HP,Xe3_XPC,1.15
ExtraPipe,EU,DG2,Xe3_XPC,1.0
ExtraPipe,EU,Gen12HP,Xe3_XPC,1.15
ExtraPipe,EU,Gen12DG,Xe3_XPC,1.0
ExtraPipe,EU,Gen12HP_384,Xe3_XPC,1.0
ExtraPipe,EU,Gen12HP_512,Xe3_XPC,1.0
ExtraPipe,EU,Gen12LP,Xe3_XPC,1.0
ExtraPipe,EU,Gen11,Xe3_XPC,1.0
ExtraPipe,EU,Gen11LP,Xe3_XPC,1.0
ExtraPipe,EU,Gen10LPSoC,Xe3_XPC,1.0
ExtraPipe,EU,Gen10LP,Xe3_XPC,1.0
ExtraPipe,EU,Gen9LPSoC,Xe3_XPC,1.0
ExtraPipe,EU,Gen9LPClient,Xe3_XPC,1.0
ExtraPipe,EU,Gen8SoC,Xe3_XPC,1.0
ExtraPipe,EU,Gen8,Xe3_XPC,1.0
ExtraPipe,EU,Gen7.5,Xe3_XPC,1.0
ExtraPipe,EU,Gen7,Xe3_XPC,1.0
RamboDSS,Foveros,Xe3_XPC,Xe3_XPC,1.0
RamboDSS,Foveros,RLT1,Xe3_XPC,1.0
RamboDSS,Foveros,PVCXTTrend,Xe3_XPC,1.0
RamboDSS,Foveros,PVCXT,Xe3_XPC,1.0
RamboDSS,Foveros,PVCDP,Xe3_XPC,1.0
RamboDSS,Foveros,PVC,Xe3_XPC,1.0
RamboDSS,Foveros,DG2,Xe3_XPC,1.0
RamboDSS,Foveros,Gen12HP,Xe3_XPC,1.0
RamboDSS,Foveros,Gen12DG,Xe3_XPC,1.0
RamboDSS,Foveros,Gen12HP_384,Xe3_XPC,1.0
RamboDSS,Foveros,Gen12HP_512,Xe3_XPC,1.0
RamboDSS,Foveros,Gen12LP,Xe3_XPC,1.0
RamboDSS,Foveros,Gen11,Xe3_XPC,1.0
RamboDSS,Foveros,Gen11LP,Xe3_XPC,1.0
RamboDSS,Foveros,Gen10LPSoC,Xe3_XPC,1.0
RamboDSS,Foveros,Gen10LP,Xe3_XPC,1.0
RamboDSS,Foveros,Gen9LPSoC,Xe3_XPC,1.0
RamboDSS,Foveros,Gen9LPClient,Xe3_XPC,1.0
RamboDSS,Foveros,Gen8SoC,Xe3_XPC,1.0
RamboDSS,Foveros,Gen8,Xe3_XPC,1.0
RamboDSS,Foveros,Gen7.5,Xe3_XPC,1.0
RamboDSS,Foveros,Gen7,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Xe3_XPC,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,RLT1,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,PVCXTTrend,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,PVCXT,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,PVCDP,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,PVC,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,DG2,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen12HP,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen12DG,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen12HP_384,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen12HP_512,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen12LP,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen11,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen11LP,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen10LPSoC,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen10LP,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen9LPSoC,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen9LPClient,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen8SoC,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen8,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen7.5,Xe3_XPC,1.0
SpineBaseRambo,FabricsSpine,Gen7,Xe3_XPC,1.0
INFRA,EU,PVCXTTrend,Xe3_XPC,0.85
INFRA,EU,Xe3_XPC,Xe3_XPC,1.0
